DESCRIPCION|CODCIE9_1|CODCIE9_2|URGENCIA
DOLOR MUSCULAR ECM|723.1||0
DOLOR MUSCULAR EN ESTUDIO|729.1||0
DOLOR MUSCULAR EN PIERNA IZQUIERDA|729.5||0
DOLOR MUSCULAR GENERALIZADO|729.1||0
DOLOR MUSCULAR HEMITORAX DERECHO|786.50||0
DOLOR MUSCULAR MUSLO DERECHO|729.5||0
DOLOR MUSCULAR PIERNA DERECHA|729.5||0
DOLOR MUSCULAR PIERNA IZQ|729.5||0
DOLOR MUSCULAR TORACICO|786.50||0
DOLOR MUSCULOESQUELETICO OMOPLATO|733.90|729.1|0
DOLOR MUSCULOTENDINOSO|729.1||0
DOLOR MUSLO|729.5||0
DOLOR MUSLO DERECHO|729.5||0
DOLOR MUSLO IZQUIERDO|729.5||0
DOLOR NALGA IZDA|729.1||0
DOLOR NALGAS|729.1||0
DOLOR NEOPLASICO|199.1||0
DOLOR NEURALGICO BRAZO DERECHO|723.4||0
DOLOR NEURALGICO HEMICARA DCHA|351.8||0
DOLOR NEURALGICO RETROAURICULAR|723.4||0
DOLOR NEURITICO|729.2||0
DOLOR NEURITICO INTERCOSTAL|353.8||0
DOLOR NEUROGENO|729.2||0
DOLOR NEUROPATICO|729.2||0
DOLOR NEUROPATICO TIBIAL POSTERIOR|729.2||0
DOLOR OCCIPITAL TRAS ACCIDENTE DE COCHE|784.0|E819.9|0
DOLOR OCULAR|379.91||0
DOLOR OCULAR A FILIAR|379.91||0
DOLOR OCULAR BILATERAL|379.91||0
DOLOR OCULAR BILATERAL.|379.91||0
DOLOR OCULAR OJO DERECHO|379.91||0
DOLOR OCULO- FRONTAL DERECHO|784.0||0
DOLOR OIDO DERECHO|388.70||0
DOLOR OIDO IZDO.|388.70||0
DOLOR OIDO IZQ|388.70||0
DOLOR OIDO IZQUIERDO|388.70||0
DOLOR OIDOS|388.70||0
DOLOR OJO|379.91||0
DOLOR OJO D|379.91||0
DOLOR OJO DER|379.91||0
DOLOR OJO DERECHO|379.91||0
DOLOR OJO IZDO|379.91||0
DOLOR OJO IZQ|379.91||0
DOLOR OJO IZQUIERDO|379.91||0
DOLOR OJOS|379.91||0
DOLOR ONCOLOGICO|199.1||0
DOLOR ORIGEN NEUROMUSCULAR.|729.1||0
DOLOR OROFARINGEO|462||0
DOLOR OSEO|733.90||0
DOLOR OSEO POR ARTROSIS|715.90||0
DOLOR OSEOS|733.90||0
DOLOR OSTEO MUSCULAR COSTADO DERECHO|786.52||0
DOLOR OSTEO MUSCULAR PANTORRILLA|729.5||0
DOLOR OSTEO MUSCULAR PIERNA IZQUIERDA|729.5||0
DOLOR OSTEOARTICULAR|733.90|719.40|0
DOLOR OSTEOARTICULAR.|733.90|719.40|0
DOLOR OSTEOARTICULAR GENERALIZADO|733.90|719.48|0
DOLOR OSTEOARTICULAR MUÑECA IZDA|733.90|719.43|0
DOLOR OSTEOARTICULAR TOBILLO IZDO|733.90|719.47|0
DOLOR OSTEOCONDRAL|733.90||0
DOLOR OSTEOMUS.|733.90|729.1|0
DOLOR OSTEO-MUSCULAR|733.90|729.1|0
DOLOR OSTEOMUSCULAR|733.90|729.1|0
DOLOR OSTEOMUSCULAR.|733.90|729.1|0
DOLOR OSTEOMUSCULAR BRAZOS|729.5||0
DOLOR OSTEOMUSCULAR COSTAL|786.52||0
DOLOR OSTEOMUSCULAR CRONICO|733.90|729.1|0
DOLOR OSTEOMUSCULAR DEL DORSAL ANCHO|724.1||0
DOLOR OSTEOMUSCULAR DIFUSO|780.9||1
DOLOR OSTEOMUSCULAR FOSA RENAL DERECHA|733.90|729.1|0
DOLOR OSTEOMUSCULAR GENERALIZADO|733.90|729.1|0
DOLOR OSTEOMUSCULAR HEMITORAX IZQ|786.50||0
DOLOR OSTEOMUSCULAR HOMBRO|719.41|729.1|0
DOLOR OSTEOMUSCULAR HOMBRO IZDO|719.41|729.1|0
DOLOR OSTEOMUSCULAR HOMBRO IZQUIERDO|719.41|729.1|0
DOLOR OSTEOMUSCULAR INGUINAL|733.90|729.1|0
DOLOR OSTEOMUSCULAR LUMBAR|724.2||0
DOLOR OSTEOMUSCULAR MECANICO HEMITORAX DECH|786.50||0
DOLOR OSTEOMUSCULAR PARRILLA COSTAL IZQ.|786.50||0
DOLOR OSTEOMUSCULAR PECTORAL DERECHO|786.50||0
DOLOR OSTEOMUSCULAR PIERNA DERECHA.|729.5||0
DOLOR OSTEOMUSCULAR TORACICO|786.50||0
DOLOR OSTEOMUSCULAR TORAX|786.50||0
DOLOR OTICO|388.70||0
DOLOR PALA ILIACA|733.90||0
DOLOR PANTORRILLA|729.5||0
DOLOR PARRILLA COSTAL IZQ|786.50||0
DOLOR PARRILLA COSTAL IZQDA|786.50||0
DOLOR PELVICO|625.9||0
DOLOR PELVICO POR QUISTE DE OVARIO|620.2||0
DOLOR PELVIS|625.9||0
DOLOR PERIANAL|569.42||0
DOLOR PERICICATRICIAL|709.2||0
DOLOR PERIMAMILAR IZDO|611.71||0
DOLOR PERIORBITARIO IZQ|379.91||0
DOLOR PERSISTENTE EN DEDOS DE LA MANO|729.5||0
DOLOR PEZONES LACTANTES|676.34||0
DOLOR PIE|729.5||0
DOLOR PIE DERECHO|729.5||0
DOLOR PIE DERECHO.|729.5||0
DOLOR PIE IZDO|729.5||0
DOLOR PIE IZQ|729.5||0
DOLOR PIE IZQUIERDO|729.5||0
DOLOR PIE IZQUIERDO.|729.5||0
DOLOR PIERNA|729.5||0
DOLOR PIERNA.|729.5||0
DOLOR PIERNA DERECHA|729.5||0
DOLOR PIERNA IZQ|729.5||0
DOLOR PIERNA IZQUIERDA|729.5||0
DOLOR PIERNA IZQUIERDA.|729.5||0
DOLOR PIERNAS|729.5||0
DOLOR PIERNAS POR INSUFICIENCIA VENOSA|459.81||0
DOLOR PIERNAS POR VARICES|454.9||0
DOLOR PIES|729.5||0
DOLOR PLANTA DEL PIE|729.5||0
DOLOR PLANTA PIE DCHO|729.5||0
DOLOR PLANTA PIE DERECHO|729.5||0
DOLOR PLANTAR|729.5||0
DOLOR PLANTAR DERECHO|729.5||0
DOLOR PLANTAR PIE IZDO.|729.5||0
DOLOR PLANTAR PIES|729.5||0
DOLOR PLANTAS PIES|729.5||0
DOLOR PLANTAS PIES BIPEDESTACION|729.5||0
DOLOR PLEURITICO|786.52||0
DOLOR PLEURITICO DERECHO|786.52||0
DOLOR POR ARTROSIS|715.90||0
DOLOR POR DISMETRIA MIEMBROS INFERIORES|736.81||0
DOLOR POR ESCOLIOSIS|737.30||0
DOLOR POR EXTRACCION DENTAL|523.9||0
DOLOR POR GONARTROSIS|715.36||0
DOLOR POR HALLUS VALGUS INCIPIENTE|735.0||0
DOLOR POR INFECCION DENTAL|522.4||0
DOLOR POR INSUFICIENCIA VENOSA|459.81||0
DOLOR POR INSUFICIENCIA VENOSA EN PIERNA|459.81||0
DOLOR POR INSUFICIENCIA VENOSA PIERNAS|459.81||0
DOLOR POR LEUCEMIA LINFOIDE CRONICA|204.10||0
DOLOR POR NEO DE CIEGO|153.4||0
DOLOR POR PINCHAZO EN RODILLA DERECHA|891.2||0
DOLOR POR RECTIFICACION COLUMNA CERVICAL|737.8||0
DOLOR POSQUIRURGICO|998.9||0
DOLOR POST HERPES ZOSTER|053.9||0
DOLOR POST-ESGUINCE TOBILLO IZQUIERDO|845.00||0
DOLOR POSTEXTRACCION DENTAL|523.9||0
DOLOR POSTEXTRACION DE INCISIVO|523.9||0
DOLOR POSTFRACTURA|733.90||0
DOLOR POST-HERPETICO|053.13||0
DOLOR POSTHERPETICO|053.13||0
DOLOR POSTINTERVENCION QUIRURGICA|998.9||0
DOLOR POSTPOLIPECTOMIA|998.9||0
DOLOR POSTQUIRURGICO|998.9||0
DOLOR POSTRAUMATICO CADERA|719.45|E928.9|0
DOLOR POSTRAUMATICO EN TORAX|786.50|E928.9|0
DOLOR POSTRAUMATICO HOMBRO|719.41|E928.9|0
DOLOR POSTRAUMATICO MANO|729.5|E928.9|0
DOLOR POSTRAUMATICO MUÑECA IZQUIERDA|729.5|E928.9|0
DOLOR POSTRAUMATICO PIE|729.5|E928.9|0
DOLOR PRECARDIACO|786.51||0
DOLOR PRECORDIAL|786.51||1
DOLOR PRECORDIAL|786.51||0
DOLOR PRECORDIAL.|786.51||0
DOLOR PRECORDIAL ATIPICO|786.51||0
DOLOR PRECORDIAL DE CARASTERISTICAS MUSCULAR|786.50||0
DOLOR PRECORDIAL EN ESTUDIO|786.51||0
DOLOR PRECORDIAL EN ESTUDIO.|786.51||0
DOLOR PRECORDIAL NO ISQUEMICO|786.51||0
DOLOR PRECORDIAL OSTEOMUSCULAR|786.50||0
DOLOR PREESTERNAL|786.50||0
DOLOR PRIMER DEDO PIE|729.5||0
DOLOR PRIMER DEDO PIE DERECHO|729.5||0
DOLOR PSICOSOMATICO|307.80||0
DOLOR PSOAS RECIDIVANTE|729.1||0
DOLOR PULGAR DERECHO|729.5||0
DOLOR PULGAR IZDO|729.5||0
DOLOR PUNZANTE HEMITORAX IZ|786.50||0
DOLOR RADICULAR|729.2||0
DOLOR RAIZ PRIMER DEDO MANO IZDA|729.5||0
DOLOR REG. CERVICAL|723.1||0
DOLOR REGION ESCAPULAR IZQUIERDA|786.50||0
DOLOR REGION ESTERNAL|733.90||0
DOLOR REGION PARAESTERNAL|786.52||0
DOLOR REGION TEMPOROMANDIBULAR (sin especificar)|524.6||1
DOLOR REG.SACROCOCCIGEA|724.79||0
DOLOR RETROAURICULAR|723.1||0
DOLOR RETROESTERNAL|786.50||0
DOLOR RETROESTERNAL ORIGEN ESOFAGICO.|530.9||0
DOLOR RETROOCULAR.|379.91||0
DOLOR REUMATICO|729.0||0
DOLOR REUMATICO PIERNA DERECHA|729.0||0
DOLOR RODILLA|719.46||0
DOLOR RODILLA DCHA.|719.46||0
DOLOR RODILLA DECHA|719.46||0
DOLOR RODILLA DERECHA|719.46||0
DOLOR RODILLA IZDA|719.46||0
DOLOR RODILLA IZQ|719.46||0
DOLOR RODILLA IZQUIERDA|719.46||0
DOLOR RODILLAS|719.46||0
DOLOR ROTULA IZQUIERDA|719.46||0
DOLOR SACRO|724.6||0
DOLOR SACRO COCCIGEO|724.79||0
DOLOR SACRO-COCCIGEO|724.6|724.79|0
DOLOR SACRO-COXIS|724.79||0
DOLOR SACROILIACO|724.6||0
DOLOR SINFISIS PUBICA.|733.90||0
DOLOR SINUSAL|478.1||0
DOLOR SOMATICO|307.80||0
DOLOR SOMATOFORME|307.80||0
DOLOR SUBCOSTAL|786.50||0
DOLOR SUBCOSTAL IZDO MUSCULOESQUELETICO|786.50||0
DOLOR SUBESCAPULAR IZQ|724.5||0
DOLOR SUBMAXILAR IZQ|526.9||0
DOLOR SUPRACILIAR|784.0||0
DOLOR SUPRAESTERNAL|733.90||0
DOLOR TALON|729.5||0
DOLOR TALON DERECHO|729.5||0
DOLOR TALON IZQUIERDO|729.5||0
DOLOR TALON PIE DERECHO|729.5||0
DOLOR TEMPORAL|784.0||0
DOLOR TEMPOROMANDIBULAR|524.62||0
DOLOR TENDON DE AQUILES|727.89||0
DOLOR TESTE|608.9||0
DOLOR TESTICULAR|608.9||0
DOLOR TESTICULAR DERECHO|608.9||0
DOLOR TESTICULAR IZQ|608.9||0
DOLOR TESTICULO|608.9||0
DOLOR TESTICULO DERECHO|608.9||0
DOLOR TESTICULO IZDO|608.9||0
DOLOR TOBILLO|719.47||0
DOLOR TOBILLO DERECHO|719.47||0
DOLOR TOBILLO FRACTURADO|824.8||0
DOLOR TOBILLO IZDO|719.47||0
DOLOR TOBILLO IZQ|719.47||0
DOLOR TOBILLO IZQ A FILIAR|719.47||0
DOLOR TOBILLO IZQUIERDO|719.47||0
DOLOR TOBILLOS|719.47||0
DOLOR TOBILLO/TENDINITIS|727.06||0
DOLOR TORACICA|786.50||0
DOLOR TORACICO|786.50||0
DOLOR TORACICO.|786.50||0
DOLOR TORACICO A FILIAR|786.50||0
DOLOR TORACICO ATIPICO|786.50||0
DOLOR TORACICO ATIPICO NO ISQUEMICO|786.50||0
DOLOR TORACICO CONDRO-COSTAL|786.52||0
DOLOR TORACICO DE CARACTER BRONQUITICO.|786.50||0
DOLOR TORACICO DE CARACTER MUSCULAR|786.50||0
DOLOR TORACICO DE TIPO MECANICO|786.50||0
DOLOR TORACICO EN DIABETICA|786.50|250.00|0
DOLOR TORACICO EN ESTUDIO|786.50||0
DOLOR TORACICO, ERGOMETRIA Y HOLTER (-)|786.50||0
DOLOR TORACICO INESPECIFICO|786.50||0
DOLOR TORACICO INESPECIFICO.|786.50||0
DOLOR TORACICO MAS TOS|786.50|786.2|0
DOLOR TORACICO MECANICO|786.50||0
DOLOR TORACICO MUSCULAR|786.50||0
DOLOR TORACICO MUSCULOESQUELETICO|786.50||0
DOLOR TORACICO NO FILIADO|786.50||0
DOLOR TORACICO NO ISQUEMICO|786.50||0
DOLOR TORACICO NO TIPICO.|786.50||0
DOLOR TORACICO OSTEOARTICULAR|786.50||0
DOLOR TORACICO OSTEOMUSCULAR|786.50||0
DOLOR TORACICO OSTEOMUSCULAR.|786.50||0
DOLOR TORACICO PARIETAL|786.52||0
DOLOR TORACICO POR CONTRACTURA MUSCULAR|728.85||0
DOLOR TORACICO POSTRAUMATICO|786.50|E928.9|0
DOLOR TORACICO PROBABLEMENTE ANGINOSO|786.50||0
DOLOR TORACICO PROLONGADO ATIPICO|786.50||0
DOLOR TORACICO, ROTURA FIBRILAR|847.1||0
DOLOR TORACICO TIPO MECANICO|786.50||0
DOLOR TORACICO Y DISNEA|786.50|786.09|0
DOLOR TORACOCOSTAL|786.50||0
DOLOR TORAX|786.50||0
DOLOR TORAX IZQUIERDO ATIPICO|786.50||0
DOLOR TRAS CONTUSION|924.9||0
DOLOR TRAS EXTRACCION DENTARIA|525.9||0
DOLOR TRAUMATICO COSTAL|786.50|E928.9|0
DOLOR ULCEROSO|533.90||0
DOLOR UMBILICAL|789.05||0
DOLOR UNGUEAL PIE DERECHO|703.9||0
DOLOR VACIO DERECHO|789.01||0
DOLOR VACIO DERECHO.|789.01||0
DOLOR VACIO IZQUIERDO|789.02||0
DOLOR VERTEBRAL|724.5||0
DOLOR Y DEFORMIDAD EN COCCIX|724.79||0
DOLOR Y SANGRADO RECTAL|569.42|569.3|0
DOLOR Y TUMORACION TOBILLO DERECHO|729.89|719.47|0
DOLOR ZONA COSTAL.|786.50||0
DOLOR 1º DEDO MANO DERECHA|729.5||0
DOLOR 1º DEDO MANO IZQ|729.5||0
DOLOR 1º DEDO PIE DCHO|729.5||0
DOLOR 1º DEDO PIE IZQUIEDO|729.5||0
DOLOR 2º CARTILAGO COSTOESTERNAL|786.52||0
DOLOR 2º DEDO MANO DECHA|729.5||0
DOLOR 3º DEDO MANO|729.5||0
DOLOR 3º DEDO MANO DERECHA|729.5||0
DOLOR 5º DEDO MANO DERECHA|729.5||0
DOLOR 5º DEDO PIE DCHO|729.5||0
DOLORES ARTICULARES|719.40||0
DOLORES ARTICULARES GENERALIZADOS|719.49||0
DOLORES ARTROPATICOS GENERALIZADOS|719.49||0
DOLORES ATIPICOS TORACICOS.|786.50||0
DOLORES CARACTERISTICAS REUMATICAS|729.0||0
DOLORES COSTALES.|786.50||0
DOLORES DE ESPALDA|724.5||0
DOLORES DE GRANDES ARTICULACIONES|719.48||0
DOLORES DE MIEMBROS|729.5||0
DOLORES DE PIERNAS|729.5||0
DOLORES EMPEORA.|780.9||0
DOLORES EN BRAZOS|729.5||0
DOLORES EN MMII.|729.5||0
DOLORES EN PIERNAS|729.5||0
DOLORES EN PIES|729.5||0
DOLORES GENERALIZADOS|780.9||0
DOLORES GENERALIZADOS ARTROPATICOS|715.90||0
DOLORES GENERALIZADOS NO FILIADOS|780.9||0
DOLORES GENERALIZADOS REUMATICOS|729.0||0
DOLORES MUSCULARES|729.1||0
DOLORES OIDO D|388.70||0
DOLORES OSEOS|733.90||0
DOLORES OSEOS GENERALIZADOS|733.90||0
DOLORES OSEOS GENERALIZADOS.|733.90||0
DOLORES OSTEO ARTICULARES|733.90|719.40|0
DOLORES OSTEO ARTICULARES DE PIERNAS|729.5||0
DOLORES OSTEOARTICULARES|733.90|719.40|0
DOLORES OSTEOARTICULARES GENERALIZADOS|733.90|719.49|0
DOLORES OSTEOMUSCULARES|733.90|729.1|0
DOLORES OSTEOMUSCULARES DE AMBAS PIERNAS|729.5||0
DOLORES OSTEO-MUSCULARES GENERALIZADOS|733.90|729.1|0
DOLORES OSTEOMUSCULARES GENERALIZADOS|733.90|729.1|0
DOLORES PIES|729.5||0
DOLORES POSTCONTUSIONALES|780.9|E928.9|0
DOLORES REUMATICOS|729.0||0
DOLORES REUMATICOS.|729.0||0
DOLORES REUMATICOS GENERALIZADOS|729.0||0
DOLORES REUMATICOS MMSS|729.0||0
DOLORES TORACICOS ATIPICOS|786.50||0
DOLORES TORACICOS NO CORONARIO|786.50||0
DOLORES TORACICOS NO CORONARIOS|786.50||0
DOLORES VARIOS|780.9||0
DONANTE DE SANGRE|V59.01||0
DORSALGIA|724.1||0
DORSALGIA.|724.1||0
DORSALGIA AGUDA|724.1||0
DORSALGIA ALTA|724.1||0
DORSALGIA ARTROSICA|721.2||0
DORSALGIA BENIGNA-OSTEOPOROSIS|733.00||0
DORSALGIA CRONICA|724.1||0
DORSALGIA DE ESFUERZO|724.1||0
DORSALGIA DE TIPO MECANICO|724.1||0
DORSALGIA, D6|724.1||0
DORSALGIA MECANICA|724.1||0
DORSALGIA MECANICA.|724.1||0
DORSALGIA MECANICA DE REPETICION|724.1||0
DORSALGIA MUSCULAR|724.1||0
DORSALGIA OSTEOMUSCULAR|724.1||0
DORSALGIA OSTEOPOROTICA|733.00||0
DORSALGIA PERSISTENTE|724.1||0
DORSALGIA POR ARTROSIS|721.2||0
DORSALGIA POR CONTRACTURA|728.85||0
DORSALGIA POSTESFUERZO|724.1|E927|0
DORSALGIA POSTRAUMATICA|724.1|E928.9|0
DORSALGIA REUMATICA|729.0||0
DORSALGIA. SOSPECHA ACTITUD ESCOLIOTICA|724.1||0
DORSALGIA TRAUMATICA|724.1|E928.9|0
DORSALGIA Y CERVICALGIA|724.1|723.1|0
DORSALGIA 2º A POLIARTROSIS|721.2||0
DORSALGIAS|724.1||0
DORSO Y LUMBOARTROSIS|721.2|721.3|0
DORSOARTROSIS|721.2||0
DORSO-LUMBALGIA|724.2||0
DORSOLUMBALGIA|724.2||0
DORSOLUMBALGIA.|724.2||0
DORSOLUMBALGIA AGUDA|724.2||0
DORSOLUMBALGIA MECANICA|724.2||0
DORSO-LUMBALGIA Y OTRAS POLIARTRALGIAS|724.2|719.49|0
DORSOLUMBALGIAS|724.2||0
DORSO-LUMBOARTROSIS|721.2|721.3|0
DORSOLUMBOARTROSIS|721.2|721.3|0
DORSO-LUMBOARTROSIS INCIPIENTE|721.2|721.3|0
DORSO-LUMBOCIATALGIA|724.3||0
DOS CESAREAS|V13.2||0
DOS HERNIAS EN COLUMNA LUMBAR|722.10||0
DOS QUISTES RENALES DCHOS|753.10||0
DOS UÑAS DEFORMIDAD|703.9||0
DOSIS DE RECUERDO HEPATITIS|V05.3||0
DOSIS DE VACUNA ANTITETANICA|V03.7||0
DOWN|758.0||0
DRENAJE ABCESO INGUINAL|682.2||0
DRENAJE ABCESO PERIANAL|566||0
DRENAJE ABSCESO|682.9||0
DRENAJE DE ABSCESO|682.9||0
DRENAJE PANADIZO|681.9||0
DRENAJE SINUS PILONIDAL|685.0||0
DROGADICCION|304.90||0
DROGODEPENDENCIA|304.90||0
DROGODEPENDIENTE|304.90||0
DROGODEPENDIENTE EN REHABILITACION|304.93||0
DUCHENNE|094.0||0
DUELO|V62.82||0
DUELO ALARGADO|V62.82||0
DUELO DE UN HERMANO|V62.82||0
DUELO FAMILIAR|V62.82||0
DUELO NO RESUELTO|V62.82||0
DUELO POR FALLECIMIENTO MATERNO|V62.82||0
DUELO POR MARIDO|V62.82||0
DUODENITIS|535.60||0
DUODENITIS AGUDA|535.60||0
DUODENITIS BULBAR|535.60||0
DUODENITIS CRONICA|535.60||0
DUODENITIS EROSIVA|535.60||0
DUODENITIS EROSIVA UREASA (+)|535.60||0
DUODENITIS GRADO III|535.60||0
DUODENITIS MODERADA|535.60||0
DUODENITIS PEPTICA|535.60||0
DUPLICIDAD RENAL IZQUIERDA|753.3||0
DUPLICIDAD URETERAL|753.4||0
DUPUYTREN|728.6||0
DUPUYTREN AMBAS MANOS|728.6||0
DUPUYTREN BILATERAL|728.6||0
DUPUYTREN EN MANO IZQUIERDA|728.6||0
DUPUYTREN MANOS|728.6||0
DUPUYTREN 3º Y 4º DEDOS AMBAS MANOS|728.6||0
DUREZAS EN EL PIE|700||0
DUREZAS PLANTARES|700||0
E. BASOCELULAR MEJILLA|173.3||0
E. DE HANSEN|030.9||0
E. DE PARKINSON|332.0||0
E. DIVERTICULAR COLON|562.10||0
E PARKINSON|332.0||0
E. POR REFLUJO GASTRO-ESOFAGICO|530.81||0
E. POR REFLUJO GASTROESOFAGICO|530.81||0
EAP|518.4||0
ECCEMA|692.9||0
ECCEMA.|692.9||0
ECCEMA AGUDO DE MANOS|692.9||0
ECCEMA ALERGICO|692.9||0
ECCEMA ATOPICO|691.8||0
ECCEMA ATOPICO EN NUCA|691.8||0
ECCEMA AURICULAR|380.22||0
ECCEMA AXILAR BILATERAL|691.8||0
ECCEMA CAE|380.22||0
ECCEMA CAE DERECHO|380.22||0
ECCEMA CAE IZQ|380.22||0
ECCEMA CAE IZQUIERDO|380.22||0
ECCEMA CANAL OTICO|692.9||0
ECCEMA CANDIDIASICO AXILAR|112.3||0
ECCEMA CAPILAR|692.9||0
ECCEMA CARA|692.9||0
ECCEMA CIRCINADO|692.9||0
ECCEMA CODO DERECHO|692.9||0
ECCEMA CONDUCTO AUDITIVO|380.22||0
ECCEMA CONDUCTO AUDITIVO EXTERNO|380.22||0
ECCEMA CONTACTO|692.9||0
ECCEMA CONTACTO EN CARA|692.9||0
ECCEMA CONTACTO PIERNA DERECHA|692.9||0
ECCEMA CUELLO|692.9||0
ECCEMA CUERO CABELLUDO|692.9||0
ECCEMA DE AMBOS CONDUCTOS|380.22||0
ECCEMA DE CONTACTO|692.9||0
ECCEMA DE CONTACTO AMBAS MANOS|692.9||0
ECCEMA DE CONTACTO BRAZO IZQUIERDO|692.9||0
ECCEMA DE CONTACTO CON SOBREINFECCION|692.9|686.9|0
ECCEMA DE CONTACTO EN AMBAS INGLES|692.9||0
ECCEMA DE CONTACTO EN AMBOS PIES|692.9||0
ECCEMA DE CONTACTO EN ESPALDA|692.9||0
ECCEMA DE CONTACTO EN MANOS|692.9||0
ECCEMA DE CONTACTO EN PIES|692.9||0
ECCEMA DE ESTASIS EN MI|454.1||0
ECCEMA DE HEBRA|110.3||0
ECCEMA DE HEBRA EN INGLE DERECHA|110.3||0
ECCEMA DE LAS PIERNAS|692.9||0
ECCEMA DE MANOS|692.9||0
ECCEMA DE OIDO EXTERNO|380.22||0
ECCEMA DE OIDOS EXTERNOS|380.22||0
ECCEMA DEDO|692.9||0
ECCEMA DEDOS|692.9||0
ECCEMA DEDOS MANOS|692.9||0
ECCEMA DESCAMATIVO EN PARPADOS|373.31||0
ECCEMA DISHIDROTICO|705.81||0
ECCEMA DISHIDROTICO MANOS|705.81||0
ECCEMA DISHIDROTICO PIERNA IZQUIERDA|705.81||0
ECCEMA EN ABDOMEN|692.9||0
ECCEMA EN BRAZOS|692.9||0
ECCEMA EN CAE|380.22||0
ECCEMA EN CARA|692.9||0
ECCEMA EN C.CABELLUDO|692.9||0
ECCEMA EN CONDUCTO AUDITIVO EXTERNO|380.22||0
ECCEMA EN CUELLO|692.9||0
ECCEMA EN CUERO CABELLUDO|692.9||0
ECCEMA EN HUECO POPLITEO|691.8||0
ECCEMA EN MAMA IZQUIERDA|692.9||0
ECCEMA EN MANO|692.9||0
ECCEMA EN MANOS|692.9||0
ECCEMA EN OIDO|380.22||0
ECCEMA EN PARED ABDOMINAL|692.9||0
ECCEMA EN PIERNAS|692.9||0
ECCEMA EN TOBILLO|692.9||0
ECCEMA EN 1 DEDO MANO DERECHA.|692.9||0
ECCEMA ENDOGENO|691.8||0
ECCEMA EXFOLIATIVO|692.9||0
ECCEMA FACIAL|692.9||0
ECCEMA GRANDES PLIEGUES|691.8||0
ECCEMA HEBRA|110.3||0
ECCEMA IMPETIGINIZADO|684||0
ECCEMA (incluye otra dermatitis no especificada)|692.89||1
ECCEMA INFECTADO|692.9|686.9|0
ECCEMA INFECTADO EN OREJA DERECHA|692.9|686.9|0
ECCEMA INGLES|691.8||0
ECCEMA INGUINAL|691.8||0
ECCEMA INTERDIGITAL EN MANOS|691.8||0
ECCEMA INTERDIGITAL MANO DERECHA|691.8||0
ECCEMA INTERMAMARIO|692.9||0
ECCEMA MANO|692.9||0
ECCEMA MANO DERECHA|692.9||0
ECCEMA MANOS|692.9||0
ECCEMA MANOS Y PIES|692.9||0
ECCEMA MARGINADO|110.3||0
ECCEMA MARGINADO DE HEBRA|110.3||0
ECCEMA MARGINADO HEBRA|110.3||0
ECCEMA MARGINADO INGUINAL|110.3||0
ECCEMA MICOTICO|111.9||0
ECCEMA MICOTICO EN AXILA|111.9||0
ECCEMA MII|692.9||0
ECCEMA NARIZ|692.9||0
ECCEMA NASAL|692.9||0
ECCEMA NUCA|692.9||0
ECCEMA NUMULAR|692.9||0
ECCEMA NUMULAR ABDOMEN|692.9||0
ECCEMA NUMULAR EN ANTEBRAZO DERECHO|692.9||0
ECCEMA OIDO|380.22||0
ECCEMA OREJA|380.22||0
ECCEMA OTICO|380.22||0
ECCEMA PABELLON|380.22||0
ECCEMA PALPEBRAL|373.31||0
ECCEMA PARPADO IZQUIERDO|373.31||0
ECCEMA PARPADO SUPERIOR DERECHO|373.31||0
ECCEMA PARPADOS|373.31||0
ECCEMA PERIANAL|692.9||0
ECCEMA PIE|692.9||0
ECCEMA PIE DERECHO|692.9||0
ECCEMA PIE IZQ|692.9||0
ECCEMA PIEL|692.9||0
ECCEMA PIERNA|692.9||0
ECCEMA PIERNA DERECHA|692.9||0
ECCEMA PIERNA IZQUIERDA|692.9||0
ECCEMA PIES|692.9||0
ECCEMA PLIEGUES|691.8||0
ECCEMA POR CONTACTO|692.9||0
ECCEMA POR DICLOFENACO|692.9|E935.6|0
ECCEMA POR ESTASIS|454.1||0
ECCEMA POR ESTASIS EN PIERNAS|454.1||0
ECCEMA PRURIGINOSO AMBAS MANOS|698.2||0
ECCEMA PSORIASICO|696.1||0
ECCEMA SEBORREICO|690.18||0
ECCEMA SOBREINFECTADO|692.9|686.9|0
ECCEMA SUBMAMARIO|691.8||0
ECCEMA SUBMAMARIO DE CONTACTO|692.9||0
ECCEMA SUPURATIVO|692.9|686.9|0
ECCEMA UMBILICAL|692.9||0
ECCEMA VARICOSO|454.1||0
ECCEMA VULVAR|692.9||0
ECCEMAS|692.9||0
ECCEMAS CONTACTO|692.9||0
ECCEMAS DE CONTACTO|692.9||0
ECCEMAS DE LOS PIES|692.9||0
ECCEMAS DEDOS|692.9||0
ECCEMAS EN AMBOS|692.9||0
ECCEMAS EN INGLES|691.8||0
ECCEMAS EN MANOS|692.9||0
ECCEMAS EN PIES|692.9||0
ECCEMAS SUBMAMARIOS|691.8||0
ECCEMATIDE EN OREJA DERECHA|692.9||0
ECCEMATIDES|692.9||0
ECG CON EJE A 0º|794.31||0
ECG CON EJE IZQ.|794.31||0
ECG EJE A 0º|794.31||0
ECG ISQUEMIA ANTERIOR|412||0
ECLAMPSIA|642.6||1
ECO-DOPPLER ESTENOSIS DE AMBAS POPLITEAS|447.1||0
E.COLI,|041.4||0
ECTASIA CALICIAL PTE UROLOGIA|593.89||0
