PRES_CODIGO|PRES_DESCRIPCION
550010|MAGALDRATO 450MG, 1000 COMPRIMIDOS
550011|ALGELDRATO 200MG / CALCIO CARBONATO 220MG / MAGNESIO CARBONATO 130MG / MAGNESIO TRISILICATO 300MG, 50 COMPRIMIDOS
550013|MAGALDRATO 400MG, 60 COMPRIMIDOS
550014|ALMAGATO 1,50G, 30 SOBRES
550015|ALMAGATO 1,50G, 500 SOBRES
550016|MAGALDRATO 800MG, 30 COMPRIMIDOS
550017|MAGALDRATO 800MG, 30 SOBRES
550018|MAGALDRATO 800MG, 500 SOBRES
550019|MAGALDRATO 2G, 30 SOBRES
550020|MAGALDRATO 2G, 500 SOBRES
550021|ALMAGATO 500MG, 60 COMPRIMIDOS MASTICABLES
550022|ALGELDRATO 320MG / MAGNESIO HIDROXIDO 240MG / MAGNESIO TRISILICATO 190MG (POR G) 80G POLVO
550023|ALGELDRATO 1,20G / MAGNESIO HIDROXIDO 600MG, 30 AMPOLLAS BEBIBLES
550024|ALMAGATO 666,50MG/5ML 225ML SUSPENSION ORAL
550025|ALGELDRATO 200MG / MAGNESIO HIDROXIDO 150MG, 40 COMPRIMIDOS MASTICABLES
550027|ALGELDRATO 233MG, 50 COMPRIMIDOS
550029|CALCIO CARBONATO 149,20MG / MAGNESIO HIDROXIDO 223,80MG / SODIO BICARBONATO 447,70MG / SODIO FOSFATO 179,30MG (POR ) 100 POLVO
550030|ALMASILATO 750MG/5ML 250ML SUSPENSION ORAL
550032|ALGINICO ACIDO 500MG / ALMASILATO 500MG / MAGNESIO TRISILICATO 25MG / SODIO BICARBONATO 175MG, 100 COMPRIMIDOS
550033|FAMOTIDINA 40MG, 10 COMPRIMIDOS
550034|FAMOTIDINA 40MG, 14 COMPRIMIDOS
550035|FAMOTIDINA 40MG, 28 COMPRIMIDOS
550036|FAMOTIDINA 40MG, 500 COMPRIMIDOS
550037|RANITIDINA 150MG, 20 COMPRIMIDOS EFERVESCENTES
550038|RANITIDINA 150MG, 28 COMPRIMIDOS
550039|RANITIDINA 150MG, 500 COMPRIMIDOS
550040|RANITIDINA 300MG, 14 COMPRIMIDOS
550041|RANITIDINA 300MG, 28 COMPRIMIDOS
550042|RANITIDINA 300MG, 500 COMPRIMIDOS
550043|FAMOTIDINA 20MG, 20 COMPRIMIDOS
550044|FAMOTIDINA 20MG, 28 COMPRIMIDOS
550045|FAMOTIDINA 20MG, 500 COMPRIMIDOS
550046|CIMETIDINA 200MG, 30 COMPRIMIDOS
550047|CIMETIDINA 200MG/5ML 150ML SOLUCION ORAL
550048|CIMETIDINA 200MG, 30 SOBRES
550049|CIMETIDINA 200MG, 60 COMPRIMIDOS
550050|CIMETIDINA 200MG, 500 COMPRIMIDOS
550051|RANITIDINA 50MG/INYECTABLE 5 INYECTABLE
550052|RANITIDINA 50MG/INYECTABLE 100 INYECTABLE
550053|RANITIDINA CITRATO DE BISMUTO 400MG, 28 COMPRIMIDOS
550054|ROXATIDINA 75MG, 20 COMPRIMIDOS
550055|ROXATIDINA 75MG, 500 COMPRIMIDOS
550056|ROXATIDINA 150MG, 14 COMPRIMIDOS
550057|ROXATIDINA 150MG, 28 COMPRIMIDOS
550058|ROXATIDINA 150MG, 500 COMPRIMIDOS
550059|CIMETIDINA 400MG, 30 COMPRIMIDOS
550060|CIMETIDINA 400MG, 500 COMPRIMIDOS
550061|CIMETIDINA 200MG/INYECTABLE 10 INYECTABLE
550062|CIMETIDINA 200MG/INYECTABLE 50 INYECTABLE
550063|NIZATIDINA 300MG, 10 CAPSULAS
550064|NIZATIDINA 150MG, 20 CAPSULAS
550065|CIMETIDINA 800MG, 30 COMPRIMIDOS
550068|PANTOPRAZOL 20MG, 28 COMPRIMIDOS
550069|PANTOPRAZOL 20MG, 500 COMPRIMIDOS
550070|OMEPRAZOL 20MG, 14 CAPSULAS
550071|OMEPRAZOL 20MG, 28 CAPSULAS
550072|OMEPRAZOL 20MG, 56 CAPSULAS
550073|OMEPRAZOL 20MG, 500 CAPSULAS
550074|OMEPRAZOL 20MG, 504 CAPSULAS
550075|PANTOPRAZOL 40MG, 14 COMPRIMIDOS
550076|PANTOPRAZOL 40MG, 28 COMPRIMIDOS
550077|PANTOPRAZOL 40MG, 500 COMPRIMIDOS
550080|MISOPROSTOL 200MCG, 40 COMPRIMIDOS
550081|ACEXAMATO DE ZINC 300MG, 30 CAPSULAS
550082|ACEXAMATO DE ZINC 300MG, 30 SOBRES
550083|ACEXAMATO DE ZINC 300MG, 60 CAPSULAS
550084|ACEXAMATO DE ZINC 300MG, 60 SOBRES
550085|LANSOPRAZOL 30MG, 14 CAPSULAS
550086|LANSOPRAZOL 30MG, 28 CAPSULAS
550087|RABEPRAZOL 20MG, 14 COMPRIMIDOS
550088|RABEPRAZOL 20MG, 28 COMPRIMIDOS
550089|SUCRALFATO 1G, 50 COMPRIMIDOS
550090|SUCRALFATO 1G, 50 SOBRES
550091|SUCRALFATO 1G, 100 COMPRIMIDOS
550092|SUCRALFATO 1G, 100 SOBRES
550095|BISMUTO NITRATO BASICO 120MG, 50 COMPRIMIDOS
550096|LANSOPRAZOL 15MG, 28 CAPSULAS
550097|DOSMALFATO 1,50G, 30 AMPOLLAS BEBIBLES
550098|TRIMEBUTINA 100MG, 20 COMPRIMIDOS
550099|TRIMEBUTINA 100MG, 500 COMPRIMIDOS
550100|OCTATROPINA METILBROMURO 10MG, 500 COMPRIMIDOS
550101|MEBEVERINA 135MG, 60 COMPRIMIDOS
550102|OTILONIO BROMURO 10MG, 60 COMPRIMIDOS
550103|PINAVERIO BROMURO 50MG, 50 COMPRIMIDOS
550104|OTILONIO BROMURO 40MG, 60 COMPRIMIDOS
550105|TRIMEBUTINA 24MG/5ML 250ML SUSPENSION ORAL
550106|ESCOPOLAMINA BUTILBROMURO 10MG, 6 SUPOSITORIOS
550107|ESCOPOLAMINA BUTILBROMURO 10MG, 100 SUPOSITORIOS
550110|ESCOPOLAMINA BUTILBROMURO 10MG, 20 COMPRIMIDOS
550111|ESCOPOLAMINA BUTILBROMURO 10MG, 500 COMPRIMIDOS
550112|ESCOPOLAMINA BUTILBROMURO 20MG/INYECTABLE 6 INYECTABLE
550114|ESCOPOLAMINA BUTILBROMURO 10MG / METAMIZOL 1G, 100 SUPOSITORIOS
550116|ESCOPOLAMINA BUTILBROMURO 10MG / METAMIZOL 250MG, 500 COMPRIMIDOS
550118|ESCOPOLAMINA BUTILBROMURO 10MG / METAMIZOL 300MG, 500 CAPSULAS
550123|CLEBOPRIDA 500MCG/5ML 125ML SOLUCION ORAL
550124|CLEBOPRIDA 500MCG, 30 COMPRIMIDOS
550125|CLEBOPRIDA 500MCG/5ML 250ML SOLUCION ORAL
550126|CLEBOPRIDA 500MCG, 60 COMPRIMIDOS
550128|DOMPERIDONA 10MG, 30 CAPSULAS
550129|DOMPERIDONA 10MG, 30 COMPRIMIDOS
550133|DOMPERIDONA 5MG/5ML 200ML SUSPENSION ORAL
550137|METOCLOPRAMIDA 5MG / SIMETICONA 77,50MG, 40 COMPRIMIDOS MASTICABLES
550138|DOMPERIDONA 30MG, 12 SUPOSITORIOS
550139|DOMPERIDONA 60MG, 12 SUPOSITORIOS
550140|METOCLOPRAMIDA 10MG/INYECTABLE 12 INYECTABLE
550141|CLEBOPRIDA 62,50MCG/ML 90ML GOTAS/SOLUCION ORAL
550142|TIETILPERAZINA BIMALATO 6,50MG, 6 SUPOSITORIOS
550143|TIETILPERAZINA BIMALATO 6,50MG, 20 COMPRIMIDOS
550144|METOCLOPRAMIDA 5MG/5ML 250ML SOLUCION ORAL
550145|METOCLOPRAMIDA 10MG, 30 COMPRIMIDOS
550146|METOCLOPRAMIDA 10MG, 60 COMPRIMIDOS
550147|METOCLOPRAMIDA 10MG, 100 COMPRIMIDOS
550148|CLEBOPRIDA 500MCG / SIMETICONA 200MG, 45 CAPSULAS
550150|METOCLOPRAMIDA 5MG / SIMETICONA 100MG (POR ML) 25ML GOTAS/SOLUCION ORAL
550151|METOCLOPRAMIDA 5MG / SIMETICONA 100MG (POR 5ML) 140ML SUSPENSION ORAL
550152|METOCLOPRAMIDA 5MG / SIMETICONA 100MG, 30 CAPSULAS
550153|METOCLOPRAMIDA 5MG / SIMETICONA 100MG, 80 CAPSULAS
550154|GRANISETRON 1MG, 10 COMPRIMIDOS
550155|DOXILAMINA SUCCINATO 10MG / PIRIDOXINA 10MG, 24 CAPSULAS
550156|BELLADONA ALCALOIDES 20MCG / SODIO BROMURO 60MG / CITRATO SODICO 250MG (POR ML) 25ML GOTAS/SOLUCION ORAL
550158|DIFENHIDRAMINA 25MG / COCARBOXILASA 20MG / PIRIDOXINA 10MG / POTASIO CLORURO 500MCG / GLUCOSA 350MG, 6 SUPOSITORIOS
550160|ONDANSETRON 8MG/INYECTABLE 50 INYECTABLE
550161|ONDANSETRON 4MG, 6 COMPRIMIDOS
550162|ONDANSETRON 4MG, 10 COMPRIMIDOS BUCODISPERSABLES
550163|ONDANSETRON 4MG, 15 COMPRIMIDOS
550164|ONDANSETRON 4MG, 500 COMPRIMIDOS
550165|ONDANSETRON 8MG, 6 COMPRIMIDOS
550166|ONDANSETRON 8MG, 10 COMPRIMIDOS BUCODISPERSABLES
550167|ONDANSETRON 8MG, 15 COMPRIMIDOS
550168|ONDANSETRON 8MG, 500 COMPRIMIDOS
550170|ONDANSETRON 4MG/INYECTABLE 50 INYECTABLE
550172|METOCLOPRAMIDA 250MG / CICLOBUTIROL 2,50G / MANITOL 40G (POR 100G) 100G GRANULADO
550175|CISAPRIDA 5MG/5ML 100ML SUSPENSION ORAL
550176|CISAPRIDA 5MG, 30 COMPRIMIDOS
550177|CISAPRIDA 5MG/5ML 200ML SUSPENSION ORAL
550178|CISAPRIDA 5MG, 60 COMPRIMIDOS
550179|CISAPRIDA 5MG, 500 COMPRIMIDOS
550180|CISAPRIDA 10MG, 50 COMPRIMIDOS
550181|CISAPRIDA 10MG, 50 SOBRES
550182|CISAPRIDA 10MG, 500 COMPRIMIDOS
550183|CINITAPRIDA 1MG, 50 COMPRIMIDOS
550184|CINITAPRIDA 1MG/5ML 250ML SOLUCION ORAL
550185|CINITAPRIDA 1MG, 50 SOBRES
550186|CISAPRIDA 20MG, 30 COMPRIMIDOS
550187|DIMECROTATO MAGNESICO 50MG, 500 CAPSULAS
550188|HIMECROMONA 200MG, 500 COMPRIMIDOS
550189|HIMECROMONA 400MG, 500 COMPRIMIDOS
550190|CHENODEOXICOLICO ACIDO 250MG, 48 CAPSULAS
550191|URSODEOXICOLICO ACIDO 150MG, 60 CAPSULAS
550192|URSODEOXICOLICO ACIDO 150MG, 60 COMPRIMIDOS
550194|POLIETILENGLICOL 4000 60G, 150 SOBRES
550196|PLANTAGO OVATA 3,50G, 15 SOBRES
550197|PLANTAGO OVATA 3,50G, 30 SOBRES
550198|PLANTAGO OVATA 3,50G, 500 SOBRES
550202|PLANTAGO OVATA 3,50G, 32 SOBRES
550203|LACTULOSA 3,33G/5ML 200ML SOLUCION ORAL
550204|LACTULOSA 3,33G/5ML 800ML SOLUCION ORAL
550205|LACTITOL MONOHIDRATO 10G, 20 SOBRES
550206|LACTITOL MONOHIDRATO 10G, 50 SOBRES
550207|MACROGOL (D.O.E.) 3350 12G / POTASIO CLORURO 46,60MG / SODIO BICARBONATO 178,50MG / SODIO CLORURO 350,70MG, 50 SOBRES
550209|LACTULOSA 10G, 10 SOBRES
550210|LACTULOSA 10G, 50 SOBRES
550212|NEOMICINA 500MG, 30 COMPRIMIDOS
550215|LOPERAMIDA 200MCG/ML 100ML GOTAS/SOLUCION ORAL
550217|LOPERAMIDA 2MG, 10 CAPSULAS
550218|LOPERAMIDA 2MG, 20 CAPSULAS
550220|MESALAZINA 500MG, 100 SUPOSITORIOS
550221|BUDESONIDA 3MG, 50 CAPSULAS
550222|SULFASALAZINA 500MG, 50 COMPRIMIDOS
550223|SULFASALAZINA 500MG, 500 COMPRIMIDOS
550224|OLSALAZINA SODICA 500MG, 50 CAPSULAS
550225|OLSALAZINA SODICA 500MG, 100 CAPSULAS
550226|MESALAZINA 500MG, 100 COMPRIMIDOS
550227|MESALAZINA 400MG, 100 COMPRIMIDOS
550228|SULFASALAZINA 500MG, 10 SUPOSITORIOS
550229|MESALAZINA 1G/ENEMA 7 ENEMA 100ML
550230|TRIAMCINOLONA 10MG/APLIC. 20 APLICAC. AEROSOL RECTAL
550231|BUDESONIDA 2MG/ENEMA 7 ENEMA ML
550232|MESALAZINA 200MG/ 14 AEROSOL RECTAL
550235|GLUCOSA 20G / SODIO CLORURO 3,50G / SODIO BICARBONATO 2,50G / POTASIO CLORURO 1,50G, 5 SOBRES
550236|GLUCOSA 82,18G / POTASIO CLORURO 4,11G / SODIO BICARBONATO 5,48G / MAGNESIO SULFATO 660MG / SODIO CLORURO 2,56G / CITRICO ACIDO 2,74G / ...  (POR G) 73G POLVO
550238|PANCREAS EXTO 2,50G, 30 SOBRES
550240|LIPASA 400UI / PROTEASA 25MILES UI / AMILOLITICAS ENZIMAS 20MILES UI, 100 CAPSULAS
550241|LIPASA 400UI / PROTEASA 25MILES UI / AMILOLITICAS ENZIMAS 20MILES UI, 250 CAPSULAS
550242|PANCREATINA 150MG, 100 CAPSULAS
550243|PANCREATINA 150MG, 250 CAPSULAS
550269|ACARBOSA 100MG, 30 COMPRIMIDOS
550270|ACARBOSA 100MG, 100 COMPRIMIDOS
550271|GLIPIZIDA 5MG, 30 COMPRIMIDOS
550272|GLIPIZIDA 5MG, 100 COMPRIMIDOS
550273|GLIMEPIRIDE 1MG, 30 COMPRIMIDOS
550274|GLIMEPIRIDE 1MG, 120 COMPRIMIDOS
550275|REPAGLINIDA 2MG, 90 COMPRIMIDOS
550276|MIGLITOL 100MG, 30 COMPRIMIDOS
550277|MIGLITOL 100MG, 90 COMPRIMIDOS
550278|MIGLITOL 50MG, 30 COMPRIMIDOS
550279|MIGLITOL 50MG, 90 COMPRIMIDOS
550280|GLIBENCLAMIDA 5MG, 30 COMPRIMIDOS
550281|GLIBENCLAMIDA 5MG, 100 COMPRIMIDOS
550282|REPAGLINIDA 500MCG, 90 COMPRIMIDOS
550283|REPAGLINIDA 1MG, 90 COMPRIMIDOS
550284|TOLBUTAMIDA 500MG, 20 COMPRIMIDOS
550285|TOLBUTAMIDA 500MG, 40 COMPRIMIDOS
550286|GOMA GUAR 4,50G, 30 SOBRES
550287|GOMA GUAR 4,50G, 60 SOBRES
550288|ACARBOSA 50MG, 30 COMPRIMIDOS
550289|ACARBOSA 50MG, 100 COMPRIMIDOS
550290|BUFORMINA 100MG, 100 GRAGEAS LIBERACION MODIFICADA
550291|GLICLAZIDA 80MG, 20 COMPRIMIDOS
550292|GLICLAZIDA 80MG, 60 COMPRIMIDOS
550293|METFORMINA 850MG, 50 COMPRIMIDOS
550294|CLORPROPAMIDA 250MG, 30 COMPRIMIDOS
550295|GOMA GUAR 4,75G, 30 SOBRES
550296|GOMA GUAR 4,75G, 60 SOBRES
550297|GLIQUIDONA 30MG, 60 COMPRIMIDOS
550298|GLISENTIDA 5MG, 30 COMPRIMIDOS
550299|GLISENTIDA 5MG, 100 COMPRIMIDOS
550300|GLIMEPIRIDE 4MG, 30 COMPRIMIDOS
550301|GLIMEPIRIDE 4MG, 120 COMPRIMIDOS
550302|GLIMEPIRIDE 2MG, 30 COMPRIMIDOS
550303|GLIMEPIRIDE 2MG, 120 COMPRIMIDOS
550304|GLICLAZIDA 30MG, 500 COMPRIMIDOS LIBERACION MODIFICADA
550310|RETINOL 50MILES UI, 1 AMPOLLAS BEBIBLES
550311|RETINOL 50MILES UI, 10 CAPSULAS
550312|RETINOL 50MILES UI, 30 COMPRIMIDOS
550313|CALCIFEDIOL 266MCG, 10 AMPOLLAS BEBIBLES
550315|CALCIFEDIOL 3MG, 1 AMPOLLAS BEBIBLES
550319|CALCITRIOL 500NG, 20 CAPSULAS
550322|CALCITRIOL 250NG, 20 CAPSULAS
550323|ALFACALCIDOL 2MCG/ML 10ML GOTAS/SOLUCION ORAL
550324|COLECALCIFEROL 2MILES UI/ML 10ML GOTAS/SOLUCION ORAL
550325|TIAMINA 100MG/INYECTABLE IM 6 INYECTABLE
550326|TIAMINA 100MG/INYECTABLE IM 10 INYECTABLE
550327|TIAMINA 300MG, 20 COMPRIMIDOS
550328|BENFOTIAMINA 60MG, 20 CAPSULAS
550329|SULBUTIAMINA 200MG, 30 COMPRIMIDOS
550330|ASCORBICO ACIDO 1G/INYECTABLE 3 INYECTABLE
550331|ASCORBICO ACIDO 1G/INYECTABLE IV 6 INYECTABLE
550332|PIRIDOXINA 300MG/INYECTABLE 6 INYECTABLE
550333|PIRIDOXINA 200MG, 20 COMPRIMIDOS
550337|PIRIDOXINA 300MG, 20 COMPRIMIDOS
550338|BIOTINA 5MG, 40 COMPRIMIDOS
550339|TOCOFEROL 50MG, 20 CAPSULAS
550340|TOCOFEROL 100MG/INYECTABLE IM 6 INYECTABLE
550341|BIOTINA 5MG, 10 AMPOLLAS/VIAL (ORAL/PARENT)
550342|TOCOFEROL 200MG, 20 CAPSULAS
550343|PANTENOL 500MG/INYECTABLE 3 INYECTABLE
550344|PANTENOL 500MG/INYECTABLE 6 INYECTABLE
550345|P-AMINOBENZOICO ACIDO 500MG, 30 COMPRIMIDOS
550346|AMINOBENZOATO 500MG, 500 CAPSULAS
550347|TOCOFEROL 400MG, 30 CAPSULAS
550348|BIOTINA 1MG, 10 AMPOLLAS/VIAL (ORAL/PARENT)
550349|CALCIO PIDOLATO 3,75G, 20 SOBRES
550350|CALCIO PIDOLATO 3,75G, 30 SOBRES
550351|COMPLEJO OSEINA-HIDROXIAPATITA 830MG, 40 COMPRIMIDOS
550352|CALCIO PIDOLATO 1,85G, 30 COMPRIMIDOS EFERVESCENTES
550353|CALCIO CARBONATO 875MG / LACTOGLUCONATO CALCICO 1,13G, 30 COMPRIMIDOS EFERVESCENTES
550354|CALCIO CARBONATO 875MG / LACTOGLUCONATO CALCICO 1,13G, 60 COMPRIMIDOS EFERVESCENTES
550355|CALCIO CARBONATO 1,25G, 60 COMPRIMIDOS MASTICABLES
550358|CALCIO PIDOLATO 500MG/5ML 250ML SOLUCION ORAL
550359|CALCIO CARBONATO 2,50G, 24 SOBRES
550360|CALCIO CARBONATO 2,50G, 60 SOBRES
550362|CALCIO CARBONATO 1,50G, 20 COMPRIMIDOS MASTICABLES
550363|CALCIO CARBONATO 1,50G, 60 COMPRIMIDOS MASTICABLES
550365|CALCIO CARBONATO 1,25G, 90 COMPRIMIDOS MASTICABLES
550366|CALCIO FOSFATO 104,40MG/5ML 300ML EMULSION ORAL
550367|GLUCONATO CALCICO 2,94G / CALCIO CARBONATO 300MG / COLECALCIFEROL 400UI, 30 COMPRIMIDOS EFERVESCENTES
550368|GLUCONATO CALCICO 2,94G / CALCIO CARBONATO 300MG / COLECALCIFEROL 400UI, 60 COMPRIMIDOS EFERVESCENTES
550369|CALCIO CARBONATO 1,25G / COLECALCIFEROL 400UI, 30 COMPRIMIDOS MASTICABLES
550370|CALCIO CARBONATO 1,25G / COLECALCIFEROL 400UI, 60 COMPRIMIDOS MASTICABLES
550371|LACTATO CALCICO 1,90G / COLECALCIFEROL 200UI, 30 SOBRES
550372|CALCIO CARBONATO 1,50G / COLECALCIFEROL 400UI, 60 COMPRIMIDOS
550373|CALCIO PIDOLATO 4,50G / COLECALCIFEROL 4MG, 30 SOBRE EFERVESCENTE
550374|CALCIO PIDOLATO 4,50G / COLECALCIFEROL 4MG, 60 SOBRE EFERVESCENTE
550375|CALCIO FOSFATO 3,30G / COLECALCIFEROL 800UI, 30 SOBRES
550379|POTASIO CLORURO 600MG, 60 CAPSULAS
550380|POTASIO CLORURO 600MG, 500 CAPSULAS
550382|GLUCEPTATO POTASICO 1,32MG/5ML 250ML SOLUCION ORAL
550383|GLUCEPTATO POTASICO 1,32G/5ML 125ML SOLUCION ORAL
550387|ESTANOZOLOL 50MG/INYECTABLE IM 1 INYECTABLE
550388|ESTANOZOLOL 50MG/INYECTABLE 3 INYECTABLE
550389|ESTANOZOLOL 2MG, 20 COMPRIMIDOS
550390|NANDROLONA 50MG/INYECTABLE IM 1 INYECTABLE
550391|NANDROLONA 25MG/INYECTABLE IM 1 INYECTABLE
550396|WARFARINA SODICA 10MG, 25 COMPRIMIDOS
550397|WARFARINA SODICA 10MG, 500 COMPRIMIDOS
550398|ACENOCUMAROL 4MG, 20 COMPRIMIDOS
550399|ACENOCUMAROL 4MG, 500 COMPRIMIDOS
550400|ACENOCUMAROL 1MG, 60 COMPRIMIDOS
550401|WARFARINA SODICA 1MG, 40 COMPRIMIDOS
550402|WARFARINA SODICA 3MG, 40 COMPRIMIDOS
550403|WARFARINA SODICA 5MG, 40 COMPRIMIDOS
550404|ENOXAPARINA SODICA 100MG/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550405|ENOXAPARINA SODICA 100MG/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550408|DALTEPARINA 2,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550409|DALTEPARINA 2,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550411|DALTEPARINA 5MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550412|DALTEPARINA 5MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550416|HEPARINA CALCICA 25MILES UI/INYECTABLE 100 INYECTABLE
550417|HEPARINA SODICA 5MILES UI/INYECTABLE 1 INYECTABLE
550421|HEPARINA CALCICA 5MILES UI/INYECTABLE 100 INYECTABLE
550422|ENOXAPARINA SODICA 20MG/INYECTABLE SUBCUTANEO 2 INYECTABLE
550423|ENOXAPARINA SODICA 20MG/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550424|ENOXAPARINA SODICA 20MG/INYECTABLE SUBCUTANEO 10 INYECTABLE
550425|ENOXAPARINA SODICA 20MG/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550427|HEPARINA CALCICA 7,50MILES UI/JERINGA PRECARGADA 4 JERINGA PRECARGADA
550428|HEPARINA CALCICA 7,50MILES UI/INYECTABLE 100 INYECTABLE
550429|NADROPARINA CALCICA 2,85MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550430|NADROPARINA CALCICA 2,85MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550432|NADROPARINA CALCICA 5,70MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550433|NADROPARINA CALCICA 5,70MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550435|DALTEPARINA 15MILES UI/JERINGA PRECARGADA 5 JERINGA PRECARGADA
550436|TINZAPARINA 18MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550437|TINZAPARINA 18MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550438|ENOXAPARINA SODICA 60MG/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550439|ENOXAPARINA SODICA 60MG/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550440|ENOXAPARINA SODICA 80MG/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550441|ENOXAPARINA SODICA 80MG/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550442|BEMIPARINA SODICA 2,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550443|BEMIPARINA SODICA 2,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550445|BEMIPARINA SODICA 3,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550446|BEMIPARINA SODICA 3,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550448|ENOXAPARINA SODICA 40MG/INYECTABLE SUBCUTANEO 2 INYECTABLE
550449|ENOXAPARINA SODICA 40MG/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550450|ENOXAPARINA SODICA 40MG/INYECTABLE SUBCUTANEO 10 INYECTABLE
550451|ENOXAPARINA SODICA 40MG/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550455|NADROPARINA CALCICA 3,80MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550456|NADROPARINA CALCICA 3,80MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550458|HEPARINA CALCICA 17,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550459|HEPARINA CALCICA 17,50MILES UI/INYECTABLE 100 INYECTABLE
550464|TINZAPARINA 10MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550465|TINZAPARINA 14MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550466|TINZAPARINA 14MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550467|NADROPARINA CALCICA 7,60MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550468|NADROPARINA CALCICA 7,60MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550469|DALTEPARINA 18MILES UI/JERINGA PRECARGADA 5 JERINGA PRECARGADA
550470|DALTEPARINA 12,50MILES UI/JERINGA PRECARGADA 5 JERINGA PRECARGADA
550471|DALTEPARINA 10MILES UI/JERINGA PRECARGADA 5 JERINGA PRECARGADA
550472|TINZAPARINA 2,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550473|TINZAPARINA 2,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550474|TINZAPARINA 3,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550475|TINZAPARINA 3,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550476|TINZAPARINA 4,50MILES UI/JERINGA PRECARGADA 2 JERINGA PRECARGADA
550477|TINZAPARINA 4,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550479|DALTEPARINA 7,50MILES UI/JERINGA PRECARGADA 10 JERINGA PRECARGADA
550482|CLOPIDOGREL 75MG, 28 COMPRIMIDOS
550483|TICLOPIDINA CLORHIDRATO 250MG, 20 COMPRIMIDOS
550484|TICLOPIDINA CLORHIDRATO 250MG, 50 COMPRIMIDOS
550485|TICLOPIDINA CLORHIDRATO 250MG, 500 COMPRIMIDOS
550486|ACETILSALICILICO ACIDO 150MG, 28 CAPSULAS
550487|ACETILSALICILICO ACIDO 150MG, 500 CAPSULAS
550488|ACETILSALICILICO ACIDO 125MG, 30 COMPRIMIDOS
550489|DIPIRIDAMOL 50MG, 20 COMPRIMIDOS
550490|DIPIRIDAMOL 50MG, 50 COMPRIMIDOS
550491|DIPIRIDAMOL 50MG, 500 COMPRIMIDOS
550492|DIPIRIDAMOL 50MG, 500 GRAGEAS
550497|ACETILSALICILICO ACIDO 250MG, 30 COMPRIMIDOS
550499|ACETILSALICILICO ACIDO 300MG, 28 CAPSULAS
550500|ACETILSALICILICO ACIDO 300MG, 30 COMPRIMIDOS
550501|ACETILSALICILICO ACIDO 300MG, 500 CAPSULAS
550502|ACETILSALICILICO ACIDO 300MG, 500 COMPRIMIDOS
550503|TRIFLUSAL 300MG, 30 CAPSULAS
550504|TRIFLUSAL 300MG, 50 CAPSULAS
550505|TRIFLUSAL 300MG, 500 CAPSULAS
550506|DIPIRIDAMOL 100MG, 50 COMPRIMIDOS
550507|DIPIRIDAMOL 100MG, 500 COMPRIMIDOS
550508|DITAZOL 400MG, 30 CAPSULAS
550509|DITAZOL 400MG, 500 CAPSULAS
550513|ACETILSALICILICO ACIDO 100MG, 30 COMPRIMIDOS
550514|ACETILSALICILICO ACIDO 100MG, 500 COMPRIMIDOS
550515|CARBASALATO CALCICO 38MG, 30 SOBRES
550516|DIPIRIDAMOL 75MG / ACETILSALICILICO ACIDO 50MG, 50 CAPSULAS
