COD_PROC_URG|TITULO
33.32|NEUMOTORAX ARTIFICIAL POR COLAPSO DE PULMON
33.33|NEUMOPERITONEO POR COLAPSO DE PULMON
33.34|TARACOPLASTIA
33.39|OTRO COLAPSO QUIRURGICO DE PULMON
33.4|OPERACIONES DE REPARACION Y PLASTICA SOBRE PULMON Y BRONQUIO
33.41|SUTURA DE LACERACION BRONQUIAL
33.42|CIERRE DE FISTULA BRONQUIAL
33.43|CIERRE DE LACERACION DE PULMON
33.48|OTRAS OPERACIONES DE REPARACION Y PLASTICA SOBRE BRONQUIO
33.49|OTRAS OPERACIONES DE REPARACION Y PLASTICAS SOBRE PULMON
33.5|TRASPLANTE DE PULMON
33.50|TRASPLANTE DE PULMON NO ESPECIFICADO DE OTRA MANERA
33.51|TRASPLANTE UNILATERAL DE PULMON
33.52|TRASPLANTE BILATERAL DE PULMON
33.6|TRASPLANTE COMBINADO DE CORAZON-PULMON
33.9|OTRAS OPERACIONES SOBRE PULMON Y BRONQUIO
33.91|DILATACION BRONQUIAL
33.92|LIGADURA DE BRONQUIO
33.93|PUNCION DE PULMON
33.98|OTRAS OPERACIONES SOBRE BRONQUIO
33.99|OTRAS OPERACIONES SOBRE PULMON
34|OPERA. SOBRE PARED TORACICA, PLEURA, MEDIASTINO Y DIAFRAGMA
34.0|INCISION DE PARED TORACICA Y PLEURAL
34.01|INCISION DE PARED TORACICA
34.02|TARACOTOMIA EXPLORATORIA
34.03|REAPERTURA A TRAVES DE TORACOTOMIA RECIENTE
34.04|INSERCCION DE CATETER INTERCOSTAL PARA DRENAJE
34.05|CREACION DE DERIVACION PLEUROPERITONEAL
34.09|OTRA INCISION DE PLEURA
34.1|INCISION DE MEDIASTINO
34.2|PROC.DIAGNOSTICOS S/PARED TORACICA,PLEURA,MEDIASTINO Y DIAFR
34.21|TORACOSCOPIA TRANSPLEURAL
34.22|MEDIASTINOSCOPIA
34.23|BIOPSIA DE PARED TORACICA
34.24|BIOPSIA PLEURAL
34.25|BIOPSIA PERCUTANEA [AGUJA] CERRADA DE MEDIASTINO
34.26|BIOPSIA ABIERTA DE MEDIASTINICA
34.27|BIOPSIA DE DIAFRAGMA
34.28|OTROS PROC. DIAG. SOBRE PARED TORACICA, PLEURA Y DIAFRAGMA
34.29|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE  MEDIASTINO
34.3|EXCISION O DESTRUCCION DE LESION O TEJIDO DE MEDIASTINO
34.4|EXCISION O DESTRUCCION DE LESION DE PARED TORACICA
34.5|PLEURECTOMIA
34.51|DECORTIZACION DE PULMON
34.59|OTRA EXCISION DE PLEURA
34.6|ESCARIFICACION DE PLEURA
34.7|REPARACION DE PARED TORACICA
34.71|SUTURA DE LACERACION DE PARED TORACICA
34.72|CIERRE DE TORACOSTOMIA
34.73|CIERRE DE OTRA FISTULA DE TORAX
34.74|REPARACION DE DEFORMIDAD DE PECTUS
34.79|OTRA REPARACION SOBRE DIAFRAGMA
34.8|OPERACIONES EN DIAFRAGMA
34.81|EXCISION DE LESION O TEJIDO DE DIAFRAGMA
34.82|SUTURA DE LACERACION DE DIAFRAGMA
34.83|CIERRE DE FISTULA DE DIAFRAGMA
34.84|OTRA OPERACION DE DIAFRAGMA
34.85|IMPLANTACION DE MARCAPASOS DIAFRAGMATICO
34.89|OTRAS OPERACIONES SOBRE DIAFRAGMA
34.9|OTRAS OPERACIONES SOBRE TORAX
34.91|TORACENTESIS
34.92|INYECCION EN CAVIDAD TORACICA
34.93|REPARACION DE PLEURA
34.99|OTRA OPERACION SOBRE TORAX NCOC
35|OPERACIONES SOBRE VALVULAS Y TABIQUES DEL CORAZON
35.0|VALVULOTOMIA CARDIACA CERRADA
35.00|VALVULOTOMIA CARDIACA CERRADA, VALVULA NO ESPECIFICADA
35.01|VALVOTOMIA CARDIACA CERRADA, VALVULA AORTICA
35.02|VALVOTOMIA CARDIACA CERRADA, VALVULA MITRAL
35.03|VALVOTOMIA CARDIACA CERRADA, VALVULA PULMONAR
35.04|VALVOTOMIA CARDIACA CERRADA, VALVULA TRICUSPIDE
35.1|VALVULOPLASTIA CARDIACA ABIERTA SIN SUSTITUCION VALVULAR
35.10|VALVULOPLASTIA CARDIACA ABIERTA SIN SUSTITUCION,VALVULA NO E
35.11|VALVULOPLAS. CARDIACA ABIERTA DE VALVULA AORTICA SIN SUSTITU
35.12|VALVULOPLAST. CARDIACA ABIERTA DE VALVULA MITRAL SIN SUSTITU
35.13|VALVULOPLA. CARDIACA ABIERTA DE VALVULA PULMONAR SIN SUSTITU
35.14|VALVULOP. CARDIACA ABIERTA DE VALVULA TRICUSPIDE SIN SUSTITU
35.2|SUSTITUCION DE VALVULA CARDIACA
35.20|SUSTITUCION DE VALVULA CARDIACA NO ESPECIFICADA
35.21|SUSTITUCION DE VALVULA AORTICA CON INJERTO DE TEJIDO
35.22|OTRA SUSTITUCION DE VALVULA AORTICA
35.23|SUSTITUCION DE VALVULA MITRAL CON INJERTO DE TEJIDO
35.24|OTRA SUSTITUCION DE VALVULA MITRAL
35.25|SUSTITUCION DE VALVULA PULMONAR CON INJERTO DE TEJIDO
35.26|OTRA SUSTITUCION DE VALVULA PULMONAR
35.27|SUSTITUCION DE VALVULA TRICUSPIDE CON INJERTO DE TEJIDO
35.28|OTRA SUSTITUCION DE VALVULA TRICUSPIDE
35.3|OPERACIONES SOBRE ESTRUCTURAS ADYACENTES A VALVULAS CARDIACA
35.31|OPERACIONES SOBRE MUSCULO PAPILAR
35.32|OPERACIONES SOBRE CUERDAS TENDINOSAS
35.33|ANULOPLASTIA
35.34|INFUNDIBULECTOMIA
35.35|OPERACIONES SOBRE TRABECULAS DEL CORAZON
35.39|OP. SOBRE OTRAS ESTRUCTURAS ADYACENTES A LAS VALVULAS CARDIA
35.4|PRODUCCION DE DEFECTO DE TABIQUE EN EL CORAZON
35.41|AMPLIACION DE DEFECTO EXISTENTE DE TABIQUE INTERAURICULAR
35.42|CREACION DE DEFECTO DE TABIQUE EN EL CORAZON
35.5|REPARAC.TABIQUES INTERAURICULAR E INTERVENTRICULAR CON PROTE
35.50|REPARACION DE DEFECTO N. E. DE TABIQUES CARDIACOS CON PROTES
35.51|REP.DEFECTO DE TABIQUE INTERAURICU.CON PROTESIS,TECNICA ABIE
35.52|REP.DEFECTO DE TABIQUE INTERAURIC.CON PROTESIS, TECNICA CERR
35.53|REPARACION DE DEFECTO DE TABIQUE INTERVENTRICULAR CON PROTES
35.54|REPARACION DE DEFECTO DE COJINES ENDOCARDICOS CON PROTESIS
35.6|REP.TABIQUES INTERAURICULAR E INTERVENTRICULAR C/INJERTO TEJ
35.60|REP. DE DEFECTO DE TABIQUE CARDIACO N. E. CON INJERTO DE TEJ
35.61|REP.DEFECTO DE TABIQUE INTERAURICULAR CON INJERTO DE TEJIDO
35.62|REP.DE DEFECTO DE TABIQUE INTERVENTRICULAR CON INJERTO DE TE
35.63|REPAR.DE DEFECTO DE COJINES ENDOCARDICOS CON INJERTO DE TEJI
35.7|OTRA REPARAC.NO TABIQUE INTERAURICULAR E INTERVENTRICU
35.70|OTRA REPARACION NO ESPECIFICADA DEFECTOS DE TABIQUES CARDIAC
35.71|OTRA REP. NO ESPECIFICADA DE DEFECTO DE TABIQUE INTERAURICUL
35.72|OTRA REP. NO ESPECIF. DE DEFECTO DE TABIQUE INTERVENTRICULAR
35.73|OTRA REP. NO ESPECIF. DE DEFECTO DE COJINES ENDOCARDICOS
35.8|REPARACION TOTAL DE CIERTAS ANOMALIAS CARDIACAS CONGENITAS
35.81|REPARACION TOTAL DE TETRALOGIA DE FALLOT
35.82|REPARACION COMPLETA DE DRENAJE VENOSO PULMONAR ANOMALO TOTAL
35.83|REPARACION TOTAL DE TRONCO ARTERIOSO
35.84|CORREC.TOTAL O TRANSP.GRANDES VASOS,NO CLASIF. OTRO CONCEPTO
35.9|OTRAS OPERACIONES SOBRE VALVULAS Y TABIQUES CARDIACOS
35.91|TRANSPOSICION INTERAURICULAR DEL RETORNO VENOSO
35.92|CREACION DE CONDUCTO ENTRE EL VENTRI. DERECHO Y LA ART. PULM
35.93|CREACION DE CONDUCTO ENTRE EL VENTRICULO IZQUIERDO Y LA AORT
35.94|CREACION DE CONDUCTO ENTRE AURICULA Y ARTERIA PULMONAR
35.95|REVISION DE PROCEDIMIENTO CORRECTIVO SOBRE EL CORAZON
35.96|VALVULOPLASTIA PERCUTANEA
35.98|OTRAS OPERACIONES SOBRE TABIQUES CARDIACOS
35.99|OTRAS OPERACIONES SOBRE VALVULAS CARDIACAS
36|OPERACIONES SOBRE VASOS CARDIACOS
36.0|ELIMIACION DE OBSTRUCCION DE ART.CORONARIA E INSERCION STENT
36.01|ANGIOPLAS.CORON. TRANSLUM. PERCUT. V.UNICO, ATER.COR. SIN TR
36.02|ANG. CORON. TRANSLUM. PERCUT. V. UNICO, ATER. COR. CON TROMB
36.03|ANGIOPLASTIA DE ARTERIA CORONARIA CON TORAX ABIERTO
36.04|INFUSION TROMBOLITICA DE ARTERIA INTRACORONARIA
36.05|ANG.COR.TRANSL.PERCT. DE MULT.VASOS, DURANTE OPER. C/S AG.TR
36.09|OTRA ELIMINACION DE OBSTRUCCION DE ARTERIA CORONARIA
36.1|ANASTOMOSIS POR DESVIACION PARA REVASCULARIZACION CARDIACA
36.10|ANASTOMOSIS AORTOCORONARIA PARA REVASCULARIZACION CARDIACA
36.11|ANASTOMOSIS AORTOCORONARIA DE UNA ARTERIA CORONARIA
36.12|ANASTOMOSIS AORTOCORONARIA DE DOS ARTERIAS CORONARIAS
36.13|ANASTOMOSIS AORTOCORONARIAO DE TRES ARTERIAS CORONARIAS
36.14|ANASTOMOSIS AORTOCORONARIA DE CUATRO O MAS ARTERIAS CORONAR
36.15|ANASTOMOSIS INTERNA SIMPLE DE ARTERIA MAMARIA-ARTERIA CORONA
36.16|ANASTOMOSIS INTERNA DOBLE DE ARTERIA MAMARIA-ARTERIA CORONA
36.17|ANASTOMOSIS DE LA ARTERIA CORONARIA ABDOMINAL
36.19|OTRA ANASTOMOSIS POR DESVIACIO PARA REVASCULIZACION CARDIACA
36.2|REVASCULIZACION CARDIACA POR IMPLANTACION ARTERIAL
36.3|OTRA REVASCULIZACION CARDIACA
36.31|REVASCULARIZACIONTRANSMIOCARDICA CON TORAX ABIERTO
36.32|OTRA REVASCULARIZACION TRANSMIOCARDICA
36.39|OTRA REVASCULARIZACION DEL CORAZON
36.9|OTRAS OPERACIONES SOBRE VASOS CARDIACOS
36.91|REPARACION DE ANEURISMA DE VASO CORONARIO
36.99|OTRAS OPERACIONES SOBRE VASOS CARDIACOS
37|OTRAS OPERACIONES SOBRE CORAZON Y PERICARDIO
37.0|PERICARDIOCENTESIS
37.1|CARDIOTOMIA Y PERICARDIOTOMIA
37.10|INCISION DE CORAZON, N. E. O. M.
37.11|CARDIOTOMIA
37.12|PERICARDIOTOMIA
37.2|PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO
37.21|CATETERISMO CARDIACO DEL LADO DERECHO DEL CORAZON
37.22|CATETERISMO CARDIACO DEL LADO IZQUIERDO DEL CORAZON
37.23|CATETERISMO COMBINADO DE LOS LADOS DERECHO E IZQDO DEL CORAZ
37.24|BIOPSIA DE PERICARDIO
37.25|BIOPSIA DE CORAZON
37.26|ESTIMULACION ELECTROFISIOLOGICA CARDIACA Y ESTUDIOS DE REGIS
37.27|CHEQUEO CARDIACO
37.28|ECOCARDIOGRAFÍA INTRACARDIACA
37.29|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORAZON Y PERICARDIO
37.3|PERICARDIECTOMIA Y EXCISION DE LESION DE CORAZON
37.31|PERICARDIECTOMIA
37.32|EXCISION DE ANEURISMA DE CORAZON
37.33|EXCISION DE DESTRUCCION DE OTRA LESION O TEJIDO DEL CORAZON
37.34|ABLACION CATETERICA DE LESION O TEJIDOS DEL CORAZON
37.35|VENTRICULECTOMIA PARCIAL
37.4|REPARACION DE CORAZON Y PERICARDIO
37.5|TRANSPLANTE DE CORAZON
37.6|IMPLANTACION DE SISTEMA DE ASISTENCIA CARDIACA
37.61|IMPLANTACION DE BALON CONTRAPULSACION
37.62|IMPLANTACION DE OTRO SISTEMA DE ASISTENCIA CARDIACA
37.63|SUSTITUCION Y REPARACION DE SISTEMA DE ASISTENCIA CARDIACA
37.64|EXTRACCION DE SISTEMA DE ASISTENCIA CARDIACA
37.65|IMPLANTE DE UN SISTEMA DE ASISTENCIA CARDIACA PULSATIL EXTER
37.66|IMPLANTE DE UN SISTEMA DE ASISTENCIA CARDIACA PULSATIL IMPLA
37.67|IMPLANTACION DE SISTEMA DE CARDIOMIOESTIMULACION
37.7|IMPLANTAC/REVIS/SUSTIT/ELIM ELECTRODOS SISTEMA DE MARCAPASOS
37.70|INSERCION INICIAL DE DERIVACIONES ELECTRODOS, N. E. O. M.
37.71|INSERCION INICIAL DE DERIVAC. ELECTRODOS TRANSVENOSOS VENTRI
37.72|INSERCION INICIAL DERIVAC TRANSVENOSOS EN AURICULA Y VENTRIC
37.73|INSERCION INICIAL ELECTRODOS TRANSVENOSOS EN ATRIO
37.74|INSERCION O SUSTITUCION DE DERIVACION ELECTRODO EPICARDIAL
37.75|REVISION DERIVACION ELECTRODO
37.76|SUSTITUCION DE DERIVACION TRANSVENOSO EN AURICULA Y VENTRICU
37.77|ELIMINACION DE DERIVACION SIN SUTITUCION
37.78|INSERCION DE UN SISTEMA DE MARCAPASOS TRANSVENOSO TEMPORAL
37.79|REVISION O REUBICACION DE RECEPTACULO DE MARCAPASOS
37.8|INSERC/SUSTIT/REVISION Y ELIMINACION DE APARATOS MARCAPASOS
37.80|INSERCION MARCAPASOS PERMANENTE,INICIAL O SUST.SIN ESP.APARA
37.81|INSER.INICIAL DISPOSITIVO CAMARA UNICA, NO ESPECF.RITMO SENS
37.82|INSER.INICIAL DE APARATO CAMARA UNICA, RITMO SENSIBLE
37.83|INSERCION INICIAL DE APARATO DE CAMARA DOBLE
37.85|SUSTIT.CUALQ.TIPO MARCAPASO APAR.CAMARA UNICA,NO ESP.RIT.SEN
37.86|SUSTIT.CUALQ.TIPO MARCAPASO CON APAR. CAMARA UNICA,RITMO SEN
37.87|SUSTIT. CUALQUIER TIPO MARCAPASOS CON DISP. CAMARA DOBLE
37.89|REVISION O ELIMINACION DE MARCAPASOS CARDIACO
37.9|OTRAS OPERACIONES SOBRE CORAZON Y PERICARDIO
37.91|MASAJE CARDIACO A TORAX ABIERTO
37.92|INYECCION DE SUSTANCIA TERAPEUTICA EN CORAZON
37.93|INYECCION DE SUSTANCIA TERAPEUTICA EN PERICARDIO
37.94|IMPLANT.O SUSTIT.DE CARDIOVERSOR/DESFIBRILADOR AUTOMATICO,[A
37.95|IMPLANT.DE CARDIOVER/DESFIBRILADOR AUTOMATICO,SOLO DERIVACIO
37.96|IMPLANT.DE CARDIOVER/DESFIBR. AUTOMAT.SOLO GENERADOR DEL PUL
37.97|SUSTITUCION DE CARDIOVER/DESFIBR.AUTOMATICO,SOLO DERIVACIONE
37.98|SUSTIT.DE CARDIOV/DESFIBR.AUTOMATICO,SOLO GENERADOR DE PULSO
37.99|OTRA OPERACION SOBRE CORAZON Y PERICARDIO NCOC
38|INCISION, EXCISION Y OCLUSION DE VASOS
38.0|INCISION DE VASO
38.00|INCISION, EXCISION Y OCLUSION DE VASOS SITIO NO ESPECIFICADO
38.01|INCISION, EXCISION Y OCLUSION DE VASOS INTRACRANEALES
38.02|INCISION, EXCISION Y OCLUSION DE OTROS V. DE CABEZA Y CUELLO
38.03|INCISION, EXCISION Y OCLUSION DE VASOS DE MIEMBROS SUPERIORE
38.04|INCISION, EXCISION Y OCLUSION DE AORTA
38.05|INCISION, EXCISION Y OCLUSION DE OTROS VASOS TORACICOS
38.06|INCISION, EXCISION Y OCLUSION DE ARTERIAS ABDOMINALES
38.07|INCISION, EXCISION Y OCLUSION DE VENAS ABDOMINALES
38.08|INCISION, EXCISION Y OCLUSION ARTERIAS DE MIEMBROS INFERIORE
38.09|INCISION, EXCISION Y OCLUSION DE VENAS DE MIEMBROS INFERIORE
38.1|ENDARTERECTOMIA
38.10|ENDARTERECTOMIA DE SITIO NO ESPECIFICADO
38.11|ENDARTERECTOMIA DE VASOS INTRACRANEALES
38.12|ENDARTERECTOMIA DE OTROS VASOS DE CABEZA Y CUELLO
38.13|ENDARTERECTOMIA DE VASOS DE MIEMBROS SUPERIORES
38.14|ENDARTERECTOMIA DE AORTA
38.15|ENDARTERECTOMIA DE OTROS VASOS TORACICOS
38.16|ENDARTERECTOMIA DE ARTERIAS ABDOMINALES
38.18|ENDARTERECTOMIA DE ARTERIAS DE MIEMBROS INFERIORES
38.2|PROCEDIMIENTOS DIAGNOSTICOS SOBRE VASOS SANGUINEOS
38.21|BIOPSIA DE VASO SANGUINEO
38.22|ANGIOSCOPIA PERCUTANEA
38.29|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE VASOS SANGUINEOS
38.3|RESECCION DE VASO CON ANASTOMOSIS
38.30|RESECCION CON ANASTOMOSIS DE SITIO NO ESPECIFICADO
38.31|RESECCION CON ANASTOMOSIS DE VASOS INTRACRANEALES
38.32|RESECCION CON ANASTOMOSIS DE OTROS VASOS DE CABEZA Y CUELLO
38.33|RESECCION CON ANASTOMOSIS DE VASOS DE MIEMBROS SUPERIORES
38.34|RESECCION CON ANASTOMOSIS DE AORTA
38.35|RESECCION CON ANASTOMOSIS DE OTROS VASOS TORACICOS
38.36|RESECCION CON ANASTOMOSIS DE ARTERIAS ABDOMINALES
38.37|RESECCION CON ANASTOMOSIS DE VENAS ABDOMINALES
38.38|RESECCION CON ANASTOMOSIS DE ARTERIAS DE MIEMBROS INFERIORES
38.39|RESECCION CON ANASTOMOSIS DE VENAS DE MIEMBROS INFERIORES
38.4|RESECCION DE VASO CON SUSTITUCION
38.40|RESECCION DE VASO CON SUSTITUCION DE SITIO NO ESPECIFICADO
38.41|RESECCION DE VASOS INTRACRANEALES CON SUSTITUCION
38.42|RESECCION DE OTROS VASOS DE CABEZA Y CUELLO CON SUSTITUCION
38.43|RESECCION DE VASOS DE MIEMBROS SUPERIORES CON SUSTITUCION
38.44|RESECCION DE AORTA, ABDOMINAL CON SUSTITUCION
38.45|RESECCION DE VASOS TORACICOS CON SUSTITUCION
38.46|RESECCION DE ARTERIAS ABDOMINALES CON SUSTITUCION
38.47|RESECCION DE VENAS ABDOMINALES CON SUSTITUCION
38.48|RESECCION DE ARTERIAS DE MIEMBROS INFERIORES CON SUSTITUCION
38.49|RESECCION DE VENAS DE MIEMBROS INFERIORES CON SUSTITUCION
38.5|LIGADURA Y EXTIRPACION DE VENAS VARICOSAS
38.50|LIGADURA Y EXTIRPACION DE V. VARICOSASE SITIO NO ESPECIFICAD
38.51|LIGADURA Y EXTIRPACION DE VASOS INTRACRANEALES
38.52|LIGADURA Y EXTIRPACION DE VARICES OTRO V. DE CABEZA Y CUELLO
38.53|LIGADURA Y EXTIRPACION DE VARICES V. DE MIEMBROS SUPERIORES
38.55|LIGADURA Y EXTIRPACION DE VARICES DE OTROS VASOS TORACICOS
38.57|LIGADURA Y EXTIRPACION DE VENAS ABDOMINALES
38.59|LIGADURA Y EXTIRPACION DE VARICES V. DE MIEMBROS INFERIORE
38.6|OTRA EXCISION DE VASOS
38.60|OTRA EXCISION DE VASOS DE SITIO NO ESPECIFICADO
38.61|OTRA EXCISION DE VASOS INTRACRANEALES
38.62|OTRA EXCISION DE OTROS VASOS DE CABEZA Y CUELLO
38.63|OTRA EXCISION DE VASOS DE MIEMBROS SUPERIORES
38.64|OTRA EXCISION DE AORTA
38.65|OTRA EXCISION DE OTROS VASOS TORACICOS
38.66|OTRA EXCISION DE ARTERIAS ABDOMINALES
38.67|OTRA EXCISION DE VENAS ABDOMINALES
38.68|OTRA EXCISION DE ARTERIAS DE MIEMBROS INFERIORES
38.69|OTRA EXCISION DE VENAS DE MIEMBROS INFERIORES
38.7|PLICATURA DE VENA CAVA
38.8|OTRA OCLUSION QUIRURGICA DE VASOS
38.80|OTRA OCLUSION QUIRURGICA DE VASOS SITIO NO ESPECIFICADO
38.81|OTRA OCLUSION QUIRURGICA DE VASOS INTRACRANEALES
38.82|OTRA OCLUSION QUIRURGICA DE OTROS VASOS DE CABEZA Y CUELLO
38.83|OTRA OCLUSION QUIRURGICA DE VASOS DE MIEMBROS SUPERIORES
38.84|OTRA OCLUSION QUIRURGICA DE AORTA
38.85|OTRA OCLUSION QUIRURUGICA DE OTROS VASOS TORACICOS
38.86|OTRA OCLUSION QUIRURGICA DE ARTERIAS ABDOMINALES
38.87|OTRA OCLUSION QUIRURGICA DE VENAS ABDOMINALES
38.88|OTRA OCLUSION QUIRURGICA DE ARTERIAS DE MIEMBROS INFERIORES
38.89|OTRA OCLUSION QUIRURGICA DE VENAS DE MIEMBROS INFERIORES
38.9|PUNCION DE VASO
38.91|CATETERISMO ARTERIAL
38.92|CATETERISMO DE VENA UMBILICAL
38.93|OTRO CATETERISMO VENOSO N.C.O.C.
38.94|DISECCION DE VENA PERIFERICA
38.95|CATETERIZACION VENOSA PARA DIALISIS RENAL
38.98|OTRA PUNCION DE ARTERIA
38.99|OTRA PUNCION DE VENA
39|OTRAS OPERACIONES SOBRE VASOS
39.0|DESVIACION O CONEXION DE ARTERIA SISTEMICA A ARTERIA PULMONA
39.1|DESVIACION VENOSA INTRAABDOMINAL
39.2|OTRA DESVIACION O DERIVACION VASCULAR
39.21|ANASTOMOSIS DE VENA CAVA-ARTERIA PULMONAR
39.22|DERIVACION AORTA-SUBCLAVIA-CAROTIDEA
39.23|OTRA DERIVACION O DESVIACION VASCULAR INTRATORACICA
39.24|DERIVACION AORTA-RENAL
39.25|DERIVACION AORTA-ILIACA-FEMORAL
39.26|OTRA DERIVACION O DESVIACION VASCULAR INTRABDOMINAL
39.27|ARTERIOVENOSTOMIA PARA DIALISIS RENAL
39.28|DESVIACION VASCULAR EXTRACRANEAL-INTRACRANEAL
39.29|OTRA DERIVACION O DESVIACION VASCULAR (PERIFERICA)
39.3|SUTURA DE VASO
39.30|SUTURA DE VASO SANGUINEO NO ESPECIFICADO
39.31|SUTURA DE ARTERIA
39.32|SUTURA DE VENA
39.4|REVISION DE PROCEDIMIENTO VASCULAR
39.41|CONTROL DE HEMORRAGIA DESPUES DE CIRUGIA VASCULAR
39.42|REVISION DE DERIVACION ARTERIOVENOSA PARA DIALISIS RENAL
39.43|EXTRACCION DE DESVIACION ARTERIOVENOSA PARA DIALISIS RENAL
39.49|OTRA REVISION DE PROCEDIMIENTO VASCULAR
39.5|OTRA REPARACION DE VASOS
39.50|ANGIOPLASTIA O ATERECTOMIA DE VASOS NO CORONARIOS
39.51|INTERRUPCION DE ANEURISMA
39.52|OTRA REPARACION DE ANEURISMA
39.53|REPARACION DE FISTULA ARTERIOVENOSA
39.54|OPERACION DE RE-ENTRADA (AORTA)
39.55|REIMPLANTACION DE VASO RENAL ABERRANTE
39.56|REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE DE TEJIDO
39.57|REPARACION DE VASO SANGUINEO CON INJERTO DE PARCHE SINTETICO
39.58|REPARAC. DE VASO SANGUI.CON TIPO DE INJERTO DE PARCHE NO ESP
39.59|OTRA REPARACION DE VASO
39.6|CIRCULACION EXTRACORPOREA Y PROC.AUX.CIRUGIA CARDIACA ABIERT
39.61|CIRCULACION EXTRACORPOREA AUXILIAR PARA CIRUGIA CARDIACA ABI
39.62|HIPOTERMIA (SISTEMICA) ACCESORIA DE CIRUGIA CARDIACA ABIERTA
39.63|CARDIOPLEGIA
39.64|MARCAPASOS CARDIACO INTRAOPERATORIO
39.65|OXIGENACION EXTRACORPOREA DE LA MEMBRANA
39.66|DESVIACION CARDIOPULMONAR PERCUTANEA
39.7|REPARACION ENDOVASCULAR DE VASO
39.71|IMPLANTE ENDOVASCULAR DE INJERTO EN AORTA ABDOMINAL
39.79|OTRA REPARACIÓN ENDOVASCULAR DE ANEURISMA DE OTROS VASOS
39.9|OTRAS OPERACIONES SOBRE VASOS
39.91|LIBERACION DE VASO
39.92|INYECCION DE AGENTE ESCLEROSANTE EN VENA
39.93|INSERCION DE CANULA DE VASO A VASO
39.94|SUSTITUCION DE CANULA VASO A VASO
39.95|HEMODIALISIS
39.96|PERFUSION DE CUERPO ENTERO
39.97|OTRA PERFUSION
39.98|CONTROL DE HEMORRAGIA, N. E. O. M.
39.99|OTRAS OPERACIONES SOBRE VASOS
40|OPERACIONES SOBRE EL SISTEMA LINFATICO
40.0|INCISION DE ESTRUCTURAS LINFATICAS
40.1|PROCEDIMIENTOS DIAGNOSTICOS SOBRE ESTRUCTURAS LINFATICAS
40.11|BIOPSIA DE ESTRUCTURA LINFATICA
40.19|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE ESTRUCTURAS LINFATIC
40.2|EXCISION SIMPLE DE ESTRUCTURA LINFATICA
40.21|EXCISION DE NODULO LINFATICO CERVICAL PROFUNDO
40.22|EXCISION DE NODULO LINFATICO MAMARIO INTERNO
40.23|EXCISION DE NODULO LINFATICO AXILAR
40.24|EXCISION DE NODULO LINFATICO INGUINAL
40.29|EXCISION SIMPLE DE OTRA ESTRUCTUTURA LINFATICA
40.3|EXCISION DE NODULO LINFATICO REGIONAL
40.4|EXCISION RADICAL DE NODULOS LINFATICOS CERVICALES
40.40|DISECCION RADICAL DE CUELLO, N. E. O. M.
40.41|DISECCION RADICAL DE CUELLO, UNILATERAL
40.42|DISECCION RADICAL DE CUELLO, BILATERAL
40.5|EXCISION RADICAL DE OTROS GANGLIOS LINFATICOS
40.50|EXCISION RADICAL DE NODULOS LINFATICOS,  N. E. O. M.
40.51|EXCISION RADICAL DE NODULOS LINFATICOS AXILARES
40.52|EXCISION RADICAL DE NODULOS LINFATICOS PERIAORTICOS
40.53|EXCISION RADICAL DE NODULOS LINFATICOS ILIACOS
40.54|DISECCION RADICAL DE INGLE
40.59|EXCISION RADICAL DE OTROS NODULOS LINFATICOS
40.6|OPERACIONES SOBRE CONDUCTO TORACICO
40.61|CANULACION DE CONDUCTO TORACICO
40.62|FISTULIZACION DE CONDUCTO TORACICO
40.63|CIERRE DE FISTULA DE CONDUCTO TORACICO
40.64|LIGADURA DE CONDUCTO TORACICO
40.69|OTRAS OPERACIONES SOBRE CONDUCTO TORACICO
40.9|OTRAS OPERACIONES SOBRE ESTRUCTURAS LINFATICAS
41|OPERACIONES SOBRE MEDULA OSEA Y BAZO
41.0|TRASPLANTE DE MEDULA OSEA O DE CELULAS MADRES HEMATOPOYETICA
41.00|TRASPLANTE DE MEDULA OSEA, N. E. O. M.
41.01|TRASPLANTE AUTOLOGO DE MEDULA OSEA SIN PURGADO
41.02|TRASPLANTE ALOGENICO DE MEDULA OSEA CON PURIFICACION
41.03|TRASPLANTE ALOGENICO DE MEDULA OSEA SIN PURIFICACION
41.06|TRASPLANTE DE CELULAS PROGENITORAS DE SANGE DEL CORDON UMBIL
41.09|TRASPLANTE AUTOLOGO DE MEDULA OSEA CON PURGADO
41.1|PUNCION DE BAZO
41.2|ESPLENOTOMIA
41.3|PROCEDIMIENTOS DIAGNOSTICOS SOBRE MEDULA OSEA Y BAZO
41.31|BIOPSIA DE MEDULA OSEA
41.32|BIOPSIA CERRADA (POR ASPIRACION) (PERCUTANEA) DE BAZO
41.33|BIOPSIA ABIERTA DE BAZO
41.38|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE MEDULA OSEA
41.39|OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE BAZO
41.4|EXCISION O DESTRUCCION DE LESION O TEJIDO DE BAZO
41.41|MARSUPIALIZACION DE QUISTE ESPLENICO
